INVERSIONES 2019 AYUNTAMIENTO DE MADRID Y ORGANISMOS AUTÓNOMOS. (VERSIÓN 40);;;;;;;;;;;
;;;;;;;;;;;
Programa de financiación;Título;Ce.gestor;Funcional;Económico;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2019/009172;APARCA BICICLETAS EN PARADAS DE METRO DE LA CIUDAD DE MADRID. INSTALACIÓN (ID: 11772);001097;16301;60913;157.500,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2017/004160;INSTALACIÓN RIEGO EN AMPLIACIÓN ZONAS VERDES DEL PARQUE DE LAS AVENIDAS;001097;17101;60915;84.991,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;204;SALAMANCA
2017/007082;FUENTES DE AGUA POTABLE EN EL DISTRITO CENTRO. INSTALACIÓN (ID: 73);001097;17101;60916;236.694,00;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;201;CENTRO
2017/007085;FUENTES EN ZONAS VERDES DE LA CIUDAD DE MADRID. INSTALACIÓN Y MEJORA (ID: 558);001097;17101;60916;893.859,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2019/009115;MADRID VERDE. PLAN INTEGRAL DE ARBOLADO Y ZONAS VERDES (ID: 9979);001097;17101;60920;50.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2017/007083;REFORESTACIÓN DIVERSAS ZONAS DE MADRID. REDISTRIBUCIÓN ESPACIOS NATURALES (ID: 84);001097;17101;60921;2.217.559,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2017/007084;NUEVAS ZONAS VERDES Y PARQUES EN EL DISTRITO DE CARABANCHEL (ID: 189);001097;17101;60921;393.302,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;211;CARABANCHEL
2019/000357;PLANTACIONES EN VALDEBEBAS;001097;17101;60921;100.000,00;09;MEDIO AMBIENTE;00;PARQUES;221;BARAJAS
2019/009115;MADRID VERDE. PLAN INTEGRAL DE ARBOLADO Y ZONAS VERDES (ID: 9979);001097;17101;60921;18.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2017/007086;ROCODROMO EN EL PARQUE JUAN CARLOS I. CONSTRUCCIÓN (ID: 633);001097;17101;60999;61.978,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;221;BARAJAS
2019/009100;NUEVO ROCÓDROMO  EN MADRID RÍO. CONSTRUCCIÓN (ID: 9526);001097;17101;60999;20.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;998;VARIOS DISTRITOS
2019/009115;MADRID VERDE. PLAN INTEGRAL DE ARBOLADO Y ZONAS VERDES (ID: 9979);001097;17101;60999;18.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2019/009115;MADRID VERDE. PLAN INTEGRAL DE ARBOLADO Y ZONAS VERDES (ID: 9979);001097;17101;61000;18.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2017/004176;ACONDICIONAMIENTO PLAZA ASOCIACIÓN MESETA DE ORCASITAS Y ZONA VERDE C/ OLIGISTO;001097;17101;61904;59.673,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;212;USERA
2017/004198;SANEAMIENTO Y CAMINOS:VICTOR SERNA,PARQUE PUERTA AMÉRICA,CORAZÓN MARÍA Y JARDINES CAPRICHO;001097;17101;61904;27.973,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;998;VARIOS DISTRITOS
2017/004149;DIVERSAS ZONAS AJARDINADAS DEL DISTRITO DE CENTRO. AUTOMATIZACIÓN DE RIEGOS;001097;17101;61915;7.999,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;201;CENTRO
2017/004179;PARQUE DEL CERRO DEL TÍO PÍO.OBRAS DE MEJORA EN LA RED DE RIEGO AUTOMÁTICO;001097;17101;61915;754.706,00;09;MEDIO AMBIENTE;00;PARQUES;213;PUENTE DE VALLECAS
2017/007085;FUENTES EN ZONAS VERDES DE LA CIUDAD DE MADRID. INSTALACIÓN Y MEJORA (ID: 558);001097;17101;61916;20.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2015/000213;FINCA DE TORRE ARIAS. REMODELACIÓN DEL ENTORNO;001097;17101;61920;400.000,00;09;MEDIO AMBIENTE;00;PARQUES;220;SAN BLAS - CANILLEJAS
2017/000242;PARQUE CUÑA VERDE O'DONNELL. AMPLIACIÓN;001097;17101;61920;800.000,00;09;MEDIO AMBIENTE;00;PARQUES;214;MORATALAZ
2017/000244;PARQUE DE LA CASA DE CAMPO. ACTUACIONES DE REHABILITACIÓN;001097;17101;61920;600.000,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2017/000248;PARQUE JUAN CARLOS I. ACTUACIONES DE REHABILITACIÓN;001097;17101;61920;300.000,00;09;MEDIO AMBIENTE;00;PARQUES;221;BARAJAS
2017/004163;PINAR EN PARQUE DE LOS PINOS. ACONDICIONAMIENTO INFRAESTRUCTURAS Y PASEOS TERRIZOS;001097;17101;61920;64.990,00;09;MEDIO AMBIENTE;00;PARQUES;206;TETUAN
2017/004164;PARQUE ANA TUTOR. REMODELACIÓN Y MEJORA DE RED DE RIEGO AUTOMÁTICO;001097;17101;61920;40.796,00;09;MEDIO AMBIENTE;00;PARQUES;208;FUENCARRAL-EL PARDO
2017/004167;PARQUE DE LAS ISLAS. MEJORA DEL SANEAMIENTO Y REORDENACIÓN DE PARTERRES AJARDINADOS;001097;17101;61920;6.399,00;09;MEDIO AMBIENTE;00;PARQUES;209;MONCLOA-ARAVACA
2017/004172;REMODELACIÓN PARQUE EMPERATRIZ MARÍA DE AUSTRIA;001097;17101;61920;78.128,00;09;MEDIO AMBIENTE;00;PARQUES;211;CARABANCHEL
2017/004182;PARQUE DEL SOTO DE ENTREVÍAS. REHABILITACIÓN;001097;17101;61920;195.879,00;09;MEDIO AMBIENTE;00;PARQUES;213;PUENTE DE VALLECAS
2017/004184;PARQUE DARWIN. REMODELACION INTEGRAL;001097;17101;61920;12.473,00;09;MEDIO AMBIENTE;00;PARQUES;214;MORATALAZ
2017/004185;PARQUE PAVONES NORTE. REHABILITACIÓN Y ORDENACIÓN DE USOS;001097;17101;61920;297.524,00;09;MEDIO AMBIENTE;00;PARQUES;214;MORATALAZ
2017/004186;PARQUE ARRIAGA. OBRAS DE ACONDICIONAMIENTO;001097;17101;61920;9.579,00;09;MEDIO AMBIENTE;00;PARQUES;215;CIUDAD LINEAL
2017/004188;PARQUE DEHESA BOYAL. REMODELACIÓN;001097;17101;61920;57.116,00;09;MEDIO AMBIENTE;00;PARQUES;217;VILLAVERDE
2017/004193;PARQUE VALDEBERNARDO ESTE. MEJORA DEL AJARDINAMIENTO Y RIEGO AUTOMÁTICO;001097;17101;61920;9.996,00;09;MEDIO AMBIENTE;00;PARQUES;219;VICALVARO
2017/004194;PARQUE JUAN CARLOS I. ACCESIBILIDAD Y ACONDICIONAMIENTO ENTORNO MIRADOR DE INVIERNO;001097;17101;61920;3.000,00;09;MEDIO AMBIENTE;00;PARQUES;221;BARAJAS
2018/001012;PARQUE SUR. IMPLANTACIÓN DE MICROHÁBITAT PARA EL FOMENTO DE LA BIODIVERSIDAD;001097;17101;61920;6.534,00;09;MEDIO AMBIENTE;00;PARQUES;211;CARABANCHEL
2019/000332;REDACCIÓN DE PROYECTOS PARQUES (REMODELACIÓN);001097;17101;61920;726.581,00;09;MEDIO AMBIENTE;00;PARQUES;998;VARIOS DISTRITOS
2019/009076;ÁREA INCLUSIVA DE JUEGO EN EL PARQUE DE ALUCHE Y OTRAS DE MEJORA (ID: 8567);001097;17101;61920;350.000,00;09;MEDIO AMBIENTE;00;PARQUES;210;LATINA
2019/009088;PARQUE CALERO. OBRAS DE REHABILITACIÓN Y ACONDICIONAMIENTO (ID: 9065);001097;17101;61920;50.000,00;09;MEDIO AMBIENTE;00;PARQUES;215;CIUDAD LINEAL
2019/009093;PARQUE DE LAS CRUCES. REHABILITACIÓN (ID: 9283);001097;17101;61920;50.000,00;09;MEDIO AMBIENTE;00;PARQUES;211;CARABANCHEL
2019/009108;PARQUE DE PRADOLONGO. REHABILITACIÓN INTEGRAL (ID: 9741);001097;17101;61920;50.000,00;09;MEDIO AMBIENTE;00;PARQUES;212;USERA
2019/009112;PARQUE DE AGUSTÍN RODRIGUEZ SAHAGÚN. REHABILITACIÓN (ID: 9888);001097;17101;61920;50.000,00;09;MEDIO AMBIENTE;00;PARQUES;206;TETUAN
2019/009115;MADRID VERDE. PLAN INTEGRAL DE ARBOLADO Y ZONAS VERDES (ID: 9979);001097;17101;61920;220.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2017/004159;PARQUE BREOGÁN. OBRAS DE ADECUACIÓN Y MEJORA;001097;17101;61921;101.278,00;09;MEDIO AMBIENTE;00;PARQUES;204;SALAMANCA
2017/004165;MEDIANA DE LA CALLE GINZO DE LIMIA. REMODELACIÓN;001097;17101;61921;57.754,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;208;FUENCARRAL-EL PARDO
2017/004173;MEDIANA NTRA.SRA.DE LA VALVANERA Y PLAZA CENTRAL COLONIA LOYOLA. ACONDICIONAMIENTO;001097;17101;61921;35.306,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;211;CARABANCHEL
2017/004180;JARDINES DEL CAMPO DEL TORO. REMODELACIÓN;001097;17101;61921;203.028,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;213;PUENTE DE VALLECAS
2017/004181;JARDINES DEL CAMPO DE LA PALOMA. REMODELACIÓN;001097;17101;61921;792.396,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;213;PUENTE DE VALLECAS
2017/004187;CUBIERTA DE SAN LORENZO. REHABILITACIÓN  (RIEGO,  VALLAS, ANTIRRUIDO Y PLANTACIÓN );001097;17101;61921;5.598,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;216;HORTALEZA
2017/004200;REPLANTACIÓN ARBOLADO VIARIO DISTRITOS CENTRO, TETUÁN, CHAMBERÍ, ARGUELLES Y ALEDAÑOS;001097;17101;61922;61.759,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;998;VARIOS DISTRITOS
2016/000833;PARQUE DE LA GAVIA, DISTRITO VILLA DE VALLECAS. OBRAS DE REHABILITACIÓN;001097;17102;60920;1.000.000,00;09;MEDIO AMBIENTE;00;PARQUES;218;VILLA DE VALLECAS
2019/009124;PARQUE FORESTAL / BIOSALUDABLE EN LAS TABLAS SUR. CONSTRUCCIÓN (ID: 10221);001097;17102;60920;30.000,00;09;MEDIO AMBIENTE;00;PARQUES;208;FUENCARRAL-EL PARDO
2019/009127;ZONA VERDE EN ORCASITAS, FRENTE CALLE DEVA, 8-10. CREACIÓN (ID: 10352);001097;17102;60921;50.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;212;USERA
2019/009184;BOSQUE URBANO EN EL CAÑAVERAL, DISTRITO DE VICÁLVARO. PLANTACIÓN (ID: 12076);001097;17102;60921;40.000,00;09;MEDIO AMBIENTE;00;PARQUES;219;VICALVARO
2019/009079;MURO VERDE EN EL ENSANCHE DE VALLECAS LIMÍTROFE CON VALDEMINGOMEZ. PLANTACIÓN (ID: 8671);001097;17102;60922;40.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;218;VILLA DE VALLECAS
2019/009101;NUEVO ARBOLADO EN LAS CALLES DEL DISTRITO DE ARGANZUELA. PLANTACIÓN (ID: 9536);001097;17102;60922;20.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;202;ARGANZUELA
2019/009107;NUEVO ARBOLADO EN LAS CALLES DEL DISTRITO DE CHAMBERÍ. PLANTACIÓN (ID: 9692);001097;17102;60922;50.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;207;CHAMBERI
2019/009109;ÁRBOLES Y EN LA PLAZA DE FELIPE II. PLANTACIÓN (ID: 9815);001097;17102;60922;25.079,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;204;SALAMANCA
2017/004152;PARQUE CASINO DE LA REINA. REMODELACIÓN;001097;17102;61920;14.395,00;09;MEDIO AMBIENTE;00;PARQUES;201;CENTRO
2017/007114;PARQUE C\JOAQUÍN MARÍA LÓPEZ CON ANDRÉS MELLADO Y GAZTAMBIDE. REMODELACIÓN (ID: 2239);001097;17102;61920;154.089,00;09;MEDIO AMBIENTE;00;PARQUES;207;CHAMBERI
2019/009149;PARQUE EVA PERÓN. ADECUACIÓN ÁREAS INFANTILES E ILUMINACIÓN (ID: 11241);001097;17102;61920;20.000,00;09;MEDIO AMBIENTE;00;PARQUES;204;SALAMANCA
2019/009171;PARQUE DE LAS CRUCES. REHABILITACIÓN INTEGRAL (ID: 11756);001097;17102;61920;100.000,00;09;MEDIO AMBIENTE;00;PARQUES;211;CARABANCHEL
2019/009182;PARQUE EN C/FERMÍN CABALLERO, 88, BARRIO DE PEÑAGRANDE. ADECUACIÓN (ID: 12060);001097;17102;61920;40.000,00;09;MEDIO AMBIENTE;00;PARQUES;208;FUENCARRAL-EL PARDO
2019/009104;PEQUEÑAS ZONAS AJARDINADAS DEL DISTRITO DE MORATALAZ. RECUPERACIÓN Y MANTENIMIENTO (ID: 9645);001097;17102;61921;50.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;214;MORATALAZ
2019/009129;PINAR DE LA ELIPA EN EL DISTRITO DE CIUDAD-LINEAL. REHABILITACIÓN (ID: 10392);001097;17102;61921;40.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;215;CIUDAD LINEAL
2019/009167;PASEO VERDE M-30 Y A-3 EN PUENTE DE VALLECAS. REHABILITACIÓN Y CONEXIÓN (ID: 11646);001097;17102;61921;100.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;213;PUENTE DE VALLECAS
2019/009089;DIVERSAS CALLES DE PUENTE DE VALLECAS. REPOSICIÓN DE ARBOLADO EN ALCORQUES VACÍOS (ID: 9134);001097;17102;61922;50.000,00;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;213;PUENTE DE VALLECAS
2019/000139;BIBLIOTECAS PÚBLICAS: SISTEMAS DE AUTOPRÉSTAMO;001098;33210;62301;56.942,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2019/000127;SEÑALIZACIÓN DE BIBLIOTECAS PÚBLICAS MUNICIPALES;001098;33210;62901;18.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2019/000136;UNIDAD TÉCNICA DE BIBLIOTECAS: ADQUISICIÓN DE LIBROS;001098;33210;62999;150.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2019/000127;SEÑALIZACIÓN DE BIBLIOTECAS PÚBLICAS MUNICIPALES;001098;33210;63901;4.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;998;VARIOS DISTRITOS
2019/000133;BIBLIOTECA DIGITAL: MEJORAS SISTEMA DE GESTIÓN;001098;33210;64100;45.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;201;CENTRO
2017/007133;"ESCULTURA  HOMENAJE ""MOVIMIENTO SCOUT"", RETIRO. INSTALACIÓN  (ID: 5079)";001098;33601;60900;20.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;203;RETIRO
2017/007134;MUSEO DE ARTE URBANO EN MUROS DEL DISTRITO DE RETIRO (ID: 5082);001098;33601;60900;6.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;203;RETIRO
2018/001124;PLACAS CONMEMORATIVAS A LAS VÍCTIMAS DEL TERRORISMO. INSTALACIÓN;001098;33601;60900;110.382,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;998;VARIOS DISTRITOS
2019/009189;MURALES ARTÍSTICOS EN MUROS Y FACHADAS DEL DISTRITO DE TETUÁN (ID: 9659);001098;33601;60900;18.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;206;TETUAN
2019/009192;MEMORIAL DEMOCRÁTICO E HISTÓRICO DEL DISTRITO DE CARABANCHEL. INSTALACIÓN DE PLACAS (ID: 11488);001098;33601;60900;34.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;211;CARABANCHEL
2018/008122;CITAS LITERARIAS DE ESCRITORAS EN EL BARRIO DE LAS LETRAS (ID: 709);001098;33601;60999;60.000,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;201;CENTRO
2019/009190;MUSEO DE ARTE URBANO BAJO EL PUENTE DE PACÍFICO. INSTALACIÓN (ID: 11244);001098;33601;61999;58.500,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;203;RETIRO
2009/000430;BIBLIOTECA MUNICIPAL EN BARRIO DE SAN FERMÍN. CONSTRUCCIÓN;001098;33601;62200;2.351.212,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;212;USERA
2018/000276;BIBLIOTECA DE MONTECARMELO. CONSTRUCCIÓN;001098;33601;62200;194.519,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;208;FUENCARRAL-EL PARDO
2018/000280;BIBLIOTECA DE LAS TABLAS. CONSTRUCCIÓN;001098;33601;62200;194.519,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;208;FUENCARRAL-EL PARDO
2019/000088;BIBLIOTECA DE BARAJAS. CONSTRUCCIÓN;001098;33601;62200;194.519,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;221;BARAJAS
2019/000089;BIBLIOTECA DE HORTALEZA. CONSTRUCCION;001098;33601;62200;194.519,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;216;HORTALEZA
2019/000092;BIBLIOTECA VILLA DE VALLECAS. CONSTRUCCION;001098;33601;62200;194.519,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;218;VILLA DE VALLECAS
2016/000295;"PALACIO ""EL CAPRICHO"". REHABILITACIÓN PARA DESARROLLO MUSEOGRÁFICO";001098;33601;63200;456.417,00;10;CULTURA;02;MUSEOS Y COLECCIONES;221;BARAJAS
2016/000575;BIBLIOTECA PÚBLICA JOSÉ SARAMAGO. OBRAS DE REHABILITACIÓN Y REPARACIÓN;001098;33601;63200;124.398,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;208;FUENCARRAL-EL PARDO
2017/000404;ANTIGUAS OFICINAS TEATRO MADRID. REHABILITACIÓN;001098;33601;63200;39.401,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;208;FUENCARRAL-EL PARDO
2018/000343;PABELLÓN DE BANCADAS DE LA CASA DE CAMPO. REHABILITACIÓN;001098;33601;63900;168.000,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;209;MONCLOA-ARAVACA
2019/000093;NAVE 8 MATADERO. ADECUACION.;001098;33601;63900;228.000,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;202;ARGANZUELA
2018/000484;FRONTÓN BETI JAI. REHABILITACIÓN;001098;34102;63200;36.973,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;207;CHAMBERI
2017/000317;BIBLIOTECA DE VILLAVERDE. CONSTRUCCIÓN;001098;33601;62200;195.000,00;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;217;VILLAVERDE
2019/000308;CENTROS SERVICIOS SOCIALES DISTRITO CENTRO. SISTEMAS ALARMAS ANTI-AGRESIÓN;001201;23106;62301;24.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;201;CENTRO
2019/000212;OBRAS DE CONSERVACIÓN CENTROS DOCENTES DE ENSEÑANZA DISTRITO DE CENTRO;001201;32301;63200;330.000,00;05;EDUCACIÓN;00;COLEGIOS;201;CENTRO
2019/000213;OBRAS DE CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO DE CENTRO;001201;34201;63200;230.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;201;CENTRO
2017/007139;LOCALES PÚBLICOS VACÍOS, BIENES COMUNES EN RED, DISTRITO CENTRO. ADAPTACIÓN (ID: 5362);001201;92401;63200;97.531,00;12;OTROS BIENES PÚBLICOS DE CARÁCTER SOCIAL;01;PARTICIPACIÓN CIUDADANA;201;CENTRO
2019/000216;OBRAS DE CONSERVACIÓN EDIFICIOS DISTRITO DE CENTRO;001201;93302;63200;430.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;201;CENTRO
2019/000312;CENTRO DE SERVICIOS SOCIALES ARGANZUELA. SISTEMA DE ALARMA ANTI-AGRESIÓN;001202;23106;62301;8.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;202;ARGANZUELA
2019/000235;OBRAS DE CONSERVACIÓN CENTROS DOCENTES DE ENSEÑANZA DISTRITO DE ARGANZUELA;001202;32301;63200;68.900,00;05;EDUCACIÓN;00;COLEGIOS;202;ARGANZUELA
2019/000269;OBRAS DE CONSERVACIÓN EN OTROS CENTROS EDUCATIVOS DISTRITO ARGANZUELA;001202;32601;63200;8.900,00;05;EDUCACIÓN;00;COLEGIOS;202;ARGANZUELA
2017/007140;LOCALES PÚBLICOS PARA ESTUDIO Y LECTURA EN ARGANZUELA. ADAPTACIÓN (ID: 5218);001202;33401;63200;150.000,00;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;202;ARGANZUELA
2019/000271;OBRAS DE CONSERVACIÓN INTALACIONES DEPORTIVAS DISTRITO DE ARGANZUELA;001202;34201;63200;60.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;202;ARGANZUELA
2019/000147;SERVICIOS ADMINISTRATIVOS DISTRITO ARGANZUELA. EQUIPOS DE MEDIDA AMBIENTALES;001202;92001;62302;4.000,00;00;INVERSIONES DE CARÁCTER GENERAL;02;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;202;ARGANZUELA
2019/000272;OBRAS DE CONSERVACIÓN EDIFICIOS DISTRITO DE ARGANZUELA;001202;93302;63200;60.000,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;202;ARGANZUELA
2019/000313;CENTRO DE SERVICIOS SOCIALES RETIRO. SISTEMA ALARMA ANTI-AGRESIÓN;001203;23106;62301;8.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;203;RETIRO
2019/000237;PLACAS CONMEMORATIVAS EN EL DISTRITO DE RETIRO;001203;33401;60999;3.500,00;10;CULTURA;06;ESTATUAS Y MONUMENTOS;203;RETIRO
2019/009202;EQUIPAMIENTO DEPORTIVO EN EL PARQUE DEL RETIRO, BALONCESTO Y TENIS MESA  (ID: 11389);001203;34201;61999;15.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;02;PISTAS DEPORTIVAS ELEMENTALES;203;RETIRO
2019/000109;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DISTRITO RETIRO;001203;92001;62302;200;00;INVERSIONES DE CARÁCTER GENERAL;02;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;203;RETIRO
2019/000109;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DISTRITO RETIRO;001203;92001;62500;2.000,00;00;INVERSIONES DE CARÁCTER GENERAL;02;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;203;RETIRO
2019/000109;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DISTRITO RETIRO;001203;92001;62600;2.500,00;00;INVERSIONES DE CARÁCTER GENERAL;02;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;203;RETIRO
2019/000112;SEÑALIZACION DE LOS EDIFICIOS ADSCRITOS AL DISTRITO DE RETIRO;001203;93302;62901;1.600,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;203;RETIRO
2019/000321;COLEGIOS PÚBLICOS DISTRITO RETIRO. MATERIAL PARA ORQUESTAS INFANTILES DE MÚSICA;001203;32601;62999;30.000,00;05;EDUCACIÓN;03;ESCUELAS DE MÚSICA;203;RETIRO
2019/000152;CENTRO DE SERVICIOS SOCIALES GUINDALERA. BUCLE DE INDUCCION MAGNETICA;001204;23106;62301;600;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;204;SALAMANCA
2019/000175;CENTRO DE SERVICIOS SOCIALES GUINDALERA. SISTEMA DE ALARMA ANTI-AGRESIÓN;001204;23106;62301;8.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;204;SALAMANCA
2019/000149;OBRAS DE CONSERVACION CENTROS DOCENTES DE ENSEÑANZA DISTRITO DE SALAMANCA;001204;32301;63200;90.000,00;05;EDUCACIÓN;00;COLEGIOS;204;SALAMANCA
2019/000150;OBRAS DE CONSERVACION INSTALALACIONES DEPORTIVAS DISTRITO DE SALAMANCA;001204;34201;63200;10.000,00;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;01;POLIDEPORTIVOS;204;SALAMANCA
2019/000151;OBRAS DE CONSERVACIÓN EDIFICIOS DISTRITO DE SALAMANCA;001204;93302;63200;199.400,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;204;SALAMANCA
2019/000254;PASOS PEATONALES ELEVADOS C/ HIEDRA Y LUIS CABRERA, DISTRITO CHAMARTÍN. ADECUACIÓN;001205;15322;61910;65.000,00;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;205;CHAMARTIN
2019/000260;PARQUE GLORIA FUERTES. INSTALACIÓN RAMPA ACCESO A MINUSVÁLIDOS;001205;17102;61920;15.000,00;09;MEDIO AMBIENTE;00;PARQUES;205;CHAMARTIN
2019/000314;CENTRO DE SERVICIOS SOCIALES CHAMARTÍN. SISTEMA ALARMA ANTI-AGRESIÓN;001205;23106;62301;8.000,00;03;PROTECCIÓN Y PROMOCIÓN SOCIAL;02;CENTROS DE SERVICIOS SOCIALES;205;CHAMARTIN
2019/009208;COLEGIOS PÚBLICOS DISTRITO DE CHAMARTÍN. ADQUISICIÓN JUEGOS TRADICIONALES Y DEPORTIVOS (ID: 10656);001205;32601;62599;13.000,00;05;EDUCACIÓN;00;COLEGIOS;205;CHAMARTIN
